epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.979,1.49811,1.87944,0.00722,0.74829,0.67661,0.75804,0.55658,0.9882,1.15975,0.00837,0.00066618,0.00066618,0.00066618
2,1419.41,1.60481,1.50512,0.00808,0.78872,0.70427,0.79499,0.57615,1.05044,0.9763,0.00917,0.00128007,0.00128007,0.00128007
3,2118.33,1.61977,1.46831,0.00827,0.79279,0.70919,0.80208,0.57678,1.06039,1.03087,0.0095,0.00184115,0.00184115,0.00184115
4,2821.3,1.61024,1.4257,0.00814,0.81268,0.72616,0.81725,0.61207,1.00441,0.89429,0.00836,0.0017624,0.0017624,0.0017624
5,3509.46,1.59312,1.3847,0.00799,0.8171,0.7293,0.82676,0.62302,0.96739,0.89255,0.00801,0.0016832,0.0016832,0.0016832
6,4179.15,1.57308,1.35766,0.00784,0.82359,0.74075,0.82835,0.63268,0.95429,0.8842,0.00783,0.001604,0.001604,0.001604
7,4849.43,1.55544,1.33721,0.00773,0.80908,0.74796,0.83084,0.64127,0.92854,0.87584,0.00753,0.0015248,0.0015248,0.0015248
8,5525.03,1.5471,1.31643,0.00762,0.82017,0.74311,0.83451,0.65083,0.91172,0.84002,0.00737,0.0014456,0.0014456,0.0014456
9,6191.19,1.53442,1.3,0.00747,0.83194,0.7576,0.84321,0.66351,0.89054,0.80341,0.00713,0.0013664,0.0013664,0.0013664
10,6863.68,1.51832,1.27999,0.00736,0.83853,0.75729,0.84704,0.66744,0.87542,0.80525,0.00689,0.0012872,0.0012872,0.0012872
11,7539.02,1.51125,1.26503,0.0073,0.83532,0.75698,0.84753,0.67388,0.86332,0.79054,0.0068,0.001208,0.001208,0.001208
12,8215.48,1.49683,1.24849,0.00719,0.85072,0.75599,0.85488,0.68348,0.84475,0.76208,0.00651,0.0011288,0.0011288,0.0011288
13,8893.89,1.48756,1.23398,0.00709,0.84407,0.76028,0.85458,0.68366,0.84162,0.77427,0.00651,0.0010496,0.0010496,0.0010496
14,9567.21,1.4817,1.22536,0.00705,0.84455,0.77552,0.8618,0.69202,0.82616,0.75425,0.00634,0.0009704,0.0009704,0.0009704
15,10246.7,1.47263,1.20737,0.00696,0.85734,0.76544,0.86262,0.6951,0.81924,0.7448,0.00625,0.0008912,0.0008912,0.0008912
16,10917.3,1.42999,1.13332,0.0075,0.84816,0.76924,0.86341,0.69634,0.82097,0.7311,0.00626,0.000812,0.000812,0.000812
17,11581.2,1.41483,1.11165,0.00737,0.84556,0.77134,0.86348,0.70007,0.81355,0.72622,0.00617,0.0007328,0.0007328,0.0007328
18,12239.1,1.39703,1.09421,0.00721,0.85192,0.77222,0.8669,0.70363,0.80725,0.71407,0.00609,0.0006536,0.0006536,0.0006536
19,12904.6,1.3865,1.07949,0.0071,0.85413,0.78093,0.86922,0.70643,0.80222,0.71013,0.00602,0.0005744,0.0005744,0.0005744
20,13568.1,1.37716,1.06805,0.00699,0.84866,0.78342,0.87057,0.70779,0.80013,0.7056,0.00599,0.0004952,0.0004952,0.0004952
21,14233.8,1.36881,1.06125,0.00691,0.8504,0.78441,0.87269,0.71047,0.79372,0.69897,0.00593,0.000416,0.000416,0.000416
22,14892.3,1.35732,1.04568,0.00675,0.85254,0.78791,0.87378,0.71233,0.79166,0.69502,0.00589,0.0003368,0.0003368,0.0003368
23,15553.5,1.3495,1.03652,0.0067,0.84788,0.78595,0.87168,0.71219,0.79002,0.69571,0.00587,0.0002576,0.0002576,0.0002576
24,16217,1.34385,1.02604,0.00664,0.85439,0.78186,0.87284,0.71368,0.78645,0.69095,0.00584,0.0001784,0.0001784,0.0001784
25,16876.7,1.33618,1.01868,0.00659,0.84799,0.7897,0.87438,0.71566,0.78481,0.68822,0.00581,9.92e-05,9.92e-05,9.92e-05
